Sample,Confidence Score Cluster 1,Confidence Score Cluster 2,Confidence Score Cluster 3,Confidence Score Cluster 4,Confidence Score Cluster 5,Confidence Score Cluster 6,Confidence Score Cluster 7,Predicted Cluster
Sample_1,0.004,0.846,0.461,0.999,0.66,0.153,0.311,Grp4_LowRisk
Sample_2,0.157,0.997,0.843,0.677,0.518,0.001,0.312,Grp3_LowRisk
Sample_3,0.155,0.845,0.998,0.473,0.684,0.001,0.309,Grp4_HighRisk
Sample_4,0.994,0.683,0.309,0.508,0.842,0.004,0.16,Grp3_HighRisk
Sample_5,0.001,0.848,0.466,0.151,0.692,1.0,0.303,SHH_Old
Sample_6,0.001,0.848,0.465,0.151,0.69,0.999,0.304,SHH_Old
Sample_7,0.155,0.842,0.994,0.522,0.689,0.002,0.319,Grp4_HighRisk
Sample_8,0.158,0.844,0.464,0.996,0.683,0.004,0.317,Grp4_LowRisk
Sample_9,0.836,0.482,0.667,0.321,0.999,0.002,0.156,SHH_Inf
Sample_10,0.156,0.847,0.464,0.999,0.642,0.001,0.31,Grp4_LowRisk
Sample_11,0.155,0.844,0.996,0.525,0.689,0.001,0.309,Grp4_HighRisk
Sample_12,0.002,0.154,0.472,0.308,0.692,0.831,0.999,WNT
Sample_13,0.989,0.841,0.317,0.684,0.532,0.002,0.162,Grp3_HighRisk
Sample_14,0.156,0.846,0.46,0.999,0.652,0.002,0.31,Grp4_LowRisk
Sample_15,0.001,0.849,0.466,0.151,0.691,1.0,0.303,SHH_Old
Sample_16,0.16,0.995,0.68,0.827,0.503,0.004,0.353,Grp3_LowRisk
Sample_17,0.155,0.845,0.526,0.996,0.69,0.001,0.308,Grp4_LowRisk
Sample_18,0.001,0.849,0.469,0.151,0.69,0.999,0.303,SHH_Old
Sample_19,0.003,0.662,0.312,0.84,0.527,0.16,0.996,WNT
Sample_20,0.995,0.68,0.311,0.493,0.843,0.004,0.16,Grp3_HighRisk
Sample_21,0.001,0.848,0.469,0.151,0.693,1.0,0.302,SHH_Old
Sample_22,0.154,0.844,0.508,0.998,0.693,0.0,0.306,Grp4_LowRisk
Sample_23,0.677,0.462,0.838,0.31,1.0,0.001,0.157,SHH_Inf
Sample_24,0.154,0.843,0.523,0.997,0.694,0.0,0.307,Grp4_LowRisk
Sample_25,0.995,0.358,0.311,0.654,0.843,0.003,0.321,Grp3_HighRisk
Sample_26,0.004,0.846,0.467,0.998,0.638,0.153,0.311,Grp4_LowRisk
Sample_27,0.003,0.31,0.164,0.478,0.686,0.783,0.999,WNT
Sample_28,0.156,0.847,0.465,0.998,0.64,0.001,0.31,Grp4_LowRisk
Sample_29,0.009,0.471,0.162,0.648,0.832,0.316,0.997,WNT
Sample_30,0.004,0.844,0.627,0.995,0.482,0.155,0.368,Grp4_LowRisk
Sample_31,0.004,0.845,0.464,0.998,0.683,0.153,0.313,Grp4_LowRisk
Sample_32,0.004,0.995,0.842,0.516,0.684,0.154,0.319,Grp3_LowRisk
Sample_33,0.004,0.311,0.157,0.474,0.681,0.828,0.999,WNT
Sample_34,0.993,0.486,0.317,0.659,0.845,0.002,0.163,Grp3_HighRisk
Sample_35,0.003,0.483,0.324,0.687,0.843,0.157,0.993,WNT
Sample_36,0.154,0.683,0.844,0.531,0.998,0.0,0.311,SHH_Inf
Sample_37,0.67,0.99,0.322,0.675,0.677,0.004,0.204,Grp3_LowRisk
Sample_38,0.004,0.161,0.318,0.468,0.84,0.644,0.998,WNT
Sample_39,0.005,0.318,0.159,0.469,0.649,0.828,0.999,WNT
Sample_40,0.003,0.308,0.155,0.474,0.646,0.837,1.0,WNT
Sample_41,0.154,0.684,0.997,0.488,0.846,0.0,0.312,Grp4_HighRisk
Sample_42,0.002,0.669,0.844,0.502,0.999,0.153,0.312,SHH_Inf
Sample_43,0.003,0.158,0.465,0.311,0.687,0.831,0.999,WNT
Sample_44,0.003,0.312,0.157,0.496,0.631,0.823,1.0,WNT
Sample_45,0.156,0.846,0.46,0.999,0.65,0.002,0.311,Grp4_LowRisk
Sample_46,0.155,0.692,0.998,0.469,0.843,0.001,0.308,Grp4_HighRisk
Sample_47,0.16,0.997,0.843,0.665,0.477,0.002,0.316,Grp3_LowRisk
Sample_48,0.156,0.998,0.843,0.683,0.482,0.002,0.312,Grp3_LowRisk
Sample_49,0.992,0.469,0.664,0.324,0.847,0.001,0.159,Grp3_HighRisk
Sample_50,0.002,0.677,0.998,0.306,0.846,0.156,0.482,Grp4_HighRisk
