Sample,Confidence Score Cluster 1,Confidence Score Cluster 2,Confidence Score Cluster 3,Confidence Score Cluster 4,Confidence Score Cluster 5,Confidence Score Cluster 6,Confidence Score Cluster 7,Predicted Cluster
Sample_1,0.458,0.454,0.303,0.999,0.155,0.844,0.155,3
Sample_2,0.998,0.153,0.004,0.313,0.84,0.639,0.468,0
Sample_3,0.998,0.002,0.617,0.156,0.843,0.49,0.305,0
Sample_4,0.301,0.849,0.452,0.001,0.151,0.602,1.0,6
Sample_5,0.451,0.849,1.0,0.001,0.15,0.45,0.45,2
Sample_6,0.451,0.849,1.0,0.001,0.151,0.3,0.601,2
Sample_7,0.997,0.003,0.309,0.514,0.841,0.693,0.154,0
Sample_8,0.154,0.841,0.305,0.998,0.005,0.506,0.656,3
Sample_9,0.301,0.849,0.454,0.153,0.001,0.604,0.999,6
Sample_10,0.625,0.154,0.002,0.999,0.456,0.843,0.311,3
Sample_11,0.998,0.002,0.307,0.685,0.836,0.543,0.155,0
Sample_12,0.302,0.698,0.847,0.002,0.998,0.544,0.151,4
Sample_13,0.454,0.848,0.301,0.004,0.152,0.603,0.999,6
Sample_14,0.307,0.306,0.302,0.999,0.004,0.842,0.619,3
Sample_15,0.451,0.849,1.0,0.001,0.15,0.45,0.45,2
Sample_16,0.844,0.54,0.154,0.007,0.84,0.307,0.843,0
Sample_17,0.682,0.002,0.304,0.998,0.307,0.846,0.304,3
Sample_18,0.452,0.849,1.0,0.001,0.15,0.3,0.601,2
Sample_19,0.154,0.529,0.305,0.996,0.847,0.696,0.001,3
Sample_20,0.301,0.849,0.452,0.001,0.151,0.602,1.0,6
Sample_21,0.451,0.849,1.0,0.151,0.0,0.3,0.601,2
Sample_22,0.456,0.302,0.605,0.999,0.153,0.847,0.003,3
Sample_23,0.301,0.848,0.459,0.152,0.001,0.61,0.999,6
Sample_24,0.459,0.152,0.605,0.999,0.154,0.847,0.153,3
Sample_25,0.151,0.849,0.451,0.001,0.302,0.602,1.0,6
Sample_26,0.829,0.153,0.002,0.999,0.461,0.693,0.305,3
Sample_27,0.303,0.847,0.491,0.003,0.998,0.695,0.152,4
Sample_28,0.649,0.154,0.002,0.999,0.457,0.842,0.312,3
Sample_29,0.153,0.847,0.304,0.003,0.996,0.513,0.689,4
Sample_30,0.685,0.308,0.003,0.997,0.842,0.541,0.154,3
Sample_31,0.456,0.456,0.305,0.999,0.156,0.845,0.154,3
Sample_32,0.997,0.155,0.477,0.315,0.842,0.682,0.003,0
Sample_33,0.152,0.848,0.689,0.004,0.997,0.525,0.302,4
Sample_34,0.301,0.849,0.451,0.002,0.151,0.603,1.0,6
Sample_35,0.153,0.329,0.459,0.997,0.694,0.847,0.001,3
Sample_36,0.688,0.152,0.462,0.997,0.318,0.847,0.002,3
Sample_37,0.456,0.848,0.302,0.003,0.307,0.453,0.999,6
Sample_38,0.152,0.847,0.694,0.004,0.997,0.534,0.302,4
Sample_39,0.153,0.848,0.685,0.002,0.998,0.459,0.303,4
Sample_40,0.302,0.848,0.527,0.003,0.998,0.686,0.151,4
Sample_41,0.996,0.152,0.329,0.837,0.528,0.696,0.003,0
Sample_42,0.461,0.304,0.695,0.996,0.158,0.847,0.001,3
Sample_43,0.302,0.698,0.846,0.003,0.998,0.5,0.151,4
Sample_44,0.303,0.847,0.458,0.004,0.998,0.692,0.151,4
Sample_45,0.306,0.306,0.302,0.999,0.155,0.843,0.466,3
Sample_46,0.998,0.153,0.681,0.006,0.831,0.532,0.305,0
Sample_47,0.998,0.458,0.153,0.004,0.842,0.307,0.693,0
Sample_48,0.998,0.002,0.154,0.642,0.842,0.486,0.307,0
Sample_49,0.301,0.849,0.452,0.002,0.151,0.605,1.0,6
Sample_50,0.995,0.328,0.847,0.003,0.692,0.528,0.151,0
