Sample,Predicted Cluster,Highest Probability Score
Sample_1,Grp4_LowRisk,0.999
Sample_2,Grp3_LowRisk,0.997
Sample_3,Grp4_HighRisk,0.998
Sample_4,Grp3_HighRisk,0.994
Sample_5,SHH_Old,1.0
Sample_6,SHH_Old,0.999
Sample_7,Grp4_HighRisk,0.994
Sample_8,Grp4_LowRisk,0.996
Sample_9,SHH_Inf,0.999
Sample_10,Grp4_LowRisk,0.999
Sample_11,Grp4_HighRisk,0.996
Sample_12,WNT,0.999
Sample_13,Grp3_HighRisk,0.989
Sample_14,Grp4_LowRisk,0.999
Sample_15,SHH_Old,1.0
Sample_16,Grp3_LowRisk,0.995
Sample_17,Grp4_LowRisk,0.996
Sample_18,SHH_Old,0.999
Sample_19,WNT,0.996
Sample_20,Grp3_HighRisk,0.995
Sample_21,SHH_Old,1.0
Sample_22,Grp4_LowRisk,0.998
Sample_23,SHH_Inf,1.0
Sample_24,Grp4_LowRisk,0.997
Sample_25,Grp3_HighRisk,0.995
Sample_26,Grp4_LowRisk,0.998
Sample_27,WNT,0.999
Sample_28,Grp4_LowRisk,0.998
Sample_29,WNT,0.997
Sample_30,Grp4_LowRisk,0.995
Sample_31,Grp4_LowRisk,0.998
Sample_32,Grp3_LowRisk,0.995
Sample_33,WNT,0.999
Sample_34,Grp3_HighRisk,0.993
Sample_35,WNT,0.993
Sample_36,SHH_Inf,0.998
Sample_37,Grp3_LowRisk,0.99
Sample_38,WNT,0.998
Sample_39,WNT,0.999
Sample_40,WNT,1.0
Sample_41,Grp4_HighRisk,0.997
Sample_42,SHH_Inf,0.999
Sample_43,WNT,0.999
Sample_44,WNT,1.0
Sample_45,Grp4_LowRisk,0.999
Sample_46,Grp4_HighRisk,0.998
Sample_47,Grp3_LowRisk,0.997
Sample_48,Grp3_LowRisk,0.998
Sample_49,Grp3_HighRisk,0.992
Sample_50,Grp4_HighRisk,0.998
