Sample,Predicted Cluster,Highest Probability Score
Sample_1,WNT,0.999
Sample_2,SHH_Inf,0.998
Sample_3,SHH_Inf,0.998
Sample_4,Grp4_HighRisk,1.0
Sample_5,Grp3_LowRisk,1.0
Sample_6,Grp3_LowRisk,1.0
Sample_7,SHH_Inf,0.997
Sample_8,WNT,0.998
Sample_9,Grp4_HighRisk,0.999
Sample_10,WNT,0.999
Sample_11,SHH_Inf,0.998
Sample_12,SHH_Old,0.998
Sample_13,Grp4_HighRisk,0.999
Sample_14,WNT,0.999
Sample_15,Grp3_LowRisk,1.0
Sample_16,Grp4_HighRisk,0.843
Sample_17,WNT,0.998
Sample_18,Grp3_LowRisk,1.0
Sample_19,WNT,0.996
Sample_20,Grp4_HighRisk,1.0
Sample_21,Grp3_LowRisk,1.0
Sample_22,WNT,0.999
Sample_23,Grp4_HighRisk,0.999
Sample_24,WNT,0.999
Sample_25,Grp4_HighRisk,1.0
Sample_26,WNT,0.998
Sample_27,SHH_Old,0.998
Sample_28,WNT,0.999
Sample_29,SHH_Old,0.996
Sample_30,WNT,0.997
Sample_31,WNT,0.999
Sample_32,SHH_Inf,0.997
Sample_33,SHH_Old,0.997
Sample_34,Grp4_HighRisk,1.0
Sample_35,WNT,0.996
Sample_36,WNT,0.997
Sample_37,Grp4_HighRisk,0.999
Sample_38,SHH_Old,0.997
Sample_39,SHH_Old,0.998
Sample_40,SHH_Old,0.998
Sample_41,SHH_Inf,0.996
Sample_42,WNT,0.996
Sample_43,SHH_Old,0.998
Sample_44,SHH_Old,0.998
Sample_45,WNT,0.999
Sample_46,SHH_Inf,0.998
Sample_47,SHH_Inf,0.998
Sample_48,SHH_Inf,0.998
Sample_49,Grp4_HighRisk,1.0
Sample_50,SHH_Inf,0.995
