Sample,Confidence Score Cluster 1,Confidence Score Cluster 2,Confidence Score Cluster 3,Confidence Score Cluster 4,Confidence Score Cluster 5,Confidence Score Cluster 6,Confidence Score Cluster 7,Predicted Cluster
Sample_1,0.302,0.848,0.464,0.002,0.999,0.693,0.151,4
Sample_2,0.849,0.151,0.001,0.999,0.696,0.469,0.303,3
Sample_3,0.604,0.3,0.0,1.0,0.453,0.848,0.151,3
Sample_4,0.3,0.85,0.45,0.0,0.15,0.601,1.0,6
Sample_5,0.451,0.85,1.0,0.001,0.15,0.45,0.45,2
Sample_6,0.451,0.85,1.0,0.152,0.0,0.3,0.601,2
Sample_7,1.0,0.0,0.603,0.303,0.848,0.453,0.151,0
Sample_8,0.304,0.697,0.846,0.158,0.997,0.464,0.001,4
Sample_9,0.453,0.301,0.849,0.459,0.001,0.999,0.301,5
Sample_10,0.152,0.546,0.304,0.843,0.999,0.695,0.001,4
